movie_title,director,release_date,genre,MPAA_rating,revenue,character,voice-actor
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Dr. Jumba Jookiba,David Ogden Stiers
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Captain Gantu,Kevin Michael Richardson
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Grand Councilwoman,Zoe Caldwell
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Lilo Pelekai,Daveigh Chase
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Mrs. Hasagawa,Amy Hill
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Myrtle Edmonds,Miranda Paige Walls; Liliana Mumy
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Nani Pelekai,Tia Carrere
Lilo & Stitch,Chris Sanders,21-Jun-02,Adventure,PG,"$211,506,702 ",Stitch,Chris Sanders
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",B.E.N.,Martin Short
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Billy Bones,Patrick McGoohan
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Captain Amelia,Emma Thompson
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Dr. Doppler,David Hyde Pierce
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Hands,Micheal McShane
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Jim Hawkins,Joseph Gordon-Levitt
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",John Silver,Brian Murray
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Morph,Dane A. Davis
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Mr. Arrow,Roscoe Lee Browne
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Onus,Corey Burton
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Sarah Hawkins,Laurie Metcalf
Treasure Planet,Ron Clements,27-Nov-02,Adventure,PG,"$55,189,145 ",Scroop,Michael Wincott
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Denahi,Jason Raize
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Kenai,Joaquin Phoenix
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Koda,Jeremy Suarez
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Rutt and Tuke,Rick Moranis; Dave Thomas
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Sitka,D. B. Sweeney
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Tanana,Joan Copeland
Brother Bear,Robert Walker,24-Oct-03,Adventure,G,"$119,218,333 ",Tug,Michael Clarke Duncan
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Alameda Slim,Randy Quaid
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Audrey the Chicken,Estelle Harris
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Buck,Cuba Gooding Jr.
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Grace,Jennifer Tilly
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Jeb the Goat,Joe Flaherty
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Junior the Buffalo,Lance LeGault
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Larry the Duck,Marshall Efron
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Lucky Jack,Charles Haid
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Maggie,Roseanne Barr
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Mrs. Calloway,Judi Dench
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Ollie the Pig,Charlie Dell
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Pearl Gesner,Carole Cook
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Rico,Charles Dennis
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Rusty the Dog,G.W. Bailey
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Sam the Sheriff,Richard Riehle
Home on the Range,Will Finn,2-Apr-04,Comedy,PG,"$67,910,166 ",Wesley,Steve Buscemi
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Bowler Hat Guy,Stephen J. Anderson
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Carl the Robot,Harland Williams
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Cornelius Robinson,Tom Selleck
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Doris,Ethan Sandler
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Frankie the Frog,Aurian Redson
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Franny Robinson,Nicole Sullivan
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Goob,Matthew Josten
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Lefty,Nathan Greno
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Lewis,Jordan Fry
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Lizzy,Tracey Miller-Zarneke
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Lucille Krunklehorn,Laurie Metcalf
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Mildred,Angela Bassett
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Mr. Willerstein,Tom Kenny
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Tiny,Joe Mateo
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Uncle Art,Adam West
Meet the Robinsons,Stephen J. Anderson,30-Mar-07,Adventure,G,"$119,860,589 ",Wilbur Robinson,Wesley Singerman
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Buford the Cook,Michael Colyar
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Charlotte La Bouff,Jennifer Cody
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Cousin Randy,Randy Newman
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Dr. Facilier,Keith David
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ","Eli ""Big Daddy"" La Bouff",John Goodman
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Eudora,Oprah Winfrey
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Evangaline,None
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Harvey Fenner,Corey Burton
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Henry Fenner,Jerry Kernion
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Ian the Alligator,Kevin Michael Richardson
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Lawrence the Valet,Peter Bartlett
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Louis the Alligator,Michael-Leon Wooley
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Mama Odie,Jenifer Lewis
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Marlon the Alligator,Emeril Lagasse
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Prince Naveen,Bruno Campos
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Ray the Firefly,Jim Cummings
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Tiana,Anika Noni Rose
The Princess and the Frog,Ron Clements,25-Nov-09,Adventure,G,"$116,316,457 ",Two Fingers,Paul Briggs
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Flynn Rider,Zachary Levi
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Hook Hand,Brad Garrett
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Maximus,None
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Mother Gothel,Donna Murphy
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Pascal,Frank Welker
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Rapunzel,Mandy Moore
Tangled,Nathan Greno,24-Nov-10,Adventure,PG,"$214,388,548 ",Stabbington Brothers,Ron Perlman
Winnie the Pooh,Stephen J. Anderson,15-Jul-11,Adventure,G,"$28,375,869 ",,
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Adorabeezle Winterpop,None
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Candlehead,Katie Lowes
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Crumbelina DiCaramello,Cymbre Walk
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Duncan,Horatio Sanz
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Fix-It Felix Jr.,Jack McBrayer
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",General Hologram,Dennis Haysbert
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Gloyd Orangeboar,None
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Jubileena Bing-Bing,Josie Trinidad
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",King Candy/Turbo,Alan Tudyk
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Mr. Litwak,Ed O'Neill
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Markowski,Joe Lo Truglio
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Minty Zaki,None
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Rancis Fluggerbutter,Jamie Elman
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Sergeant Calhoun,Jane Lynch
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Snowanna Rainbeau,None
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Sour Bill,Rich Moore
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ","Swizzle ""The Swizz"" Malarkey",None
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Taffyta Muttonfudge,Mindy Kaling
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Vanellope von Schweetz,Sarah Silverman
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Wreck-It Ralph,John C. Reilly
Wreck-It Ralph,Rich Moore,2-Nov-12,Adventure,PG,"$200,354,959 ",Wynchel,Adam Carolla
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Anna,Kristen Bell
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Duke of Weselton,Alan Tudyk
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Elsa,Idina Menzel
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Kristoff,Jonathan Groff
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Oaken,Chris Williams
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Olaf,Josh Gad
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Prince Hans,Santino Fontana
Frozen,Chris Buck,22-Nov-13,Adventure,PG,"$414,997,174 ",Sven,None
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Assistant Mayor Dawn Bellwether,Jenny Slate
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Benjamin Clawhauser,Nate Torrence
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Bonnie Hopps,Bonnie Hunt
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Bucky Oryx-Antlerson,Byron Howard
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Chief Bogo,Idris Elba
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Doug Ramses,Rich Moore
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Duke Weaselton,Alan Tudyk
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Emmitt Otterton,None
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Finnick,"Tommy ""Tiny"" Lister Jr."
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Flash Slothmore,Raymond S. Persi
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Gazelle,Shakira
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Jerry Jumbeaux Jr.,John DiMaggio
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Jesse the Ram,John DiMaggio
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Judy Hopps,Ginnifer Goodwin
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Mayor Lionheart,J.K. Simmons
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Mr. Big,Maurice LaMarche
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Mrs. Otterton,Octavia Spencer
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ","Nicholas ""Nick"" P. Wilde",Jason Bateman
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Pronk Oryx-Antlerson,Jared Bush
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Stu Hopps,Don Lake
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Woolter the Ram,John DiMaggio
Zootopia,Byron Howard,4-Mar-16,Adventure,PG,"$341,268,248 ",Yax,Tommy Chong
Recess: School's Out,,16-Feb-01,Comedy,G,"$54,656,124 ",,
D2: The Mighty Ducks,,25-Mar-94,Comedy,PG,"$94,226,333 ",,
Young Black Stallion,,25-Dec-03,Adventure,G,"$9,254,344 ",,
What's Love Got to Do With It,,9-Jun-93,Drama,R,"$79,618,610 ",,
Corky Romano,,12-Oct-01,Comedy,PG-13,"$35,705,805 ",,
The Waterboy,,6-Nov-98,Comedy,PG-13,"$288,691,833 ",,
Captain America: The Winter Soldier,,4-Apr-14,Action,PG-13,"$268,013,076 ",,
Pirates of the Caribbean: Dead Man’…,,7-Jul-06,Adventure,PG-13,"$544,817,142 ",,
Ladder 49,,1-Oct-04,Action,PG-13,"$101,161,045 ",,
Coyote Ugly,,4-Aug-00,Drama,PG-13,"$95,070,168 ",,
The Sixth Man,,28-Mar-97,Comedy,PG-13,"$27,117,599 ",,
Dick Tracy,,15-Jun-90,Action,PG,"$207,231,621 ",,
Sister Act 2 Back in the Habit,,10-Dec-93,Comedy,PG,"$116,965,668 ",,
DuckTales: The Movie - Treasure of th…,,3-Aug-90,Adventure,G,"$36,107,823 ",,
Blame it on the Bellboy,,6-Mar-92,Comedy,PG-13,"$5,872,667 ",,
Ernest Goes to Jail,,6-Apr-90,Comedy,PG,"$49,999,822 ",,
Ant-Man,,17-Jul-15,Action,PG-13,"$180,202,163 ",,
The Shaggy Dog,,10-Mar-06,Comedy,PG,"$78,667,428 ",,
The Life Aquatic with Steve Zissou,,10-Dec-04,Comedy,R,"$32,198,655 ",,
Bridge to Terabithia,,16-Feb-07,Drama,PG,"$100,760,721 ",,
Miami Rhapsody,,27-Jan-95,Romantic Comedy,PG-13,"$9,857,435 ",,
A Bug's Life,,20-Nov-98,Adventure,G,"$288,981,698 ",,
3 Men and a Little Lady,,21-Nov-90,Comedy,PG,"$143,108,869 ",,
The Puppet Masters,,21-Oct-94,Horror,R,"$17,727,017 ",,
Signs,,2-Aug-02,Thriller/Suspense,PG-13,"$330,754,439 ",,
Dead Presidents,,4-Oct-95,Drama,R,"$46,741,467 ",,
"McFarland, USA",,20-Feb-15,Drama,PG,"$44,480,275 ",,
George Of The Jungle,,16-Jul-97,Comedy,PG,"$193,326,632 ",,
Bound by Honor,,16-Apr-93,,R,"$9,156,084 ",,
The Avengers,,4-May-12,Action,PG-13,"$660,081,224 ",,
Ten Things I Hate About You,,31-Mar-99,Romantic Comedy,PG-13,"$63,354,375 ",,
Earth,,22-Apr-09,Documentary,G,"$35,981,010 ",,
Hello Again,,6-Nov-87,Comedy,,"$44,024,529 ",,
When a Man Loves a Woman,,29-Apr-94,Drama,R,"$103,354,194 ",,
Unbreakable,,22-Nov-00,Thriller/Suspense,PG-13,"$148,208,901 ",,
3 Men and a Baby,,25-Nov-87,Comedy,PG,"$353,334,607 ",,
X Games 3D: The Movie,,21-Aug-09,Documentary,PG,"$1,563,976 ",,
Cars 2,,24-Jun-11,Adventure,G,"$203,522,177 ",,
The Princess Diaries 2: Royal Engagement,,11-Aug-04,Romantic Comedy,G,"$129,164,207 ",,
The Jungle Book 2,,14-Feb-03,Adventure,G,"$66,966,883 ",,
Aspen Extreme,,22-Jan-93,Romantic Comedy,PG-13,"$15,970,955 ",,
Noises Off...,,20-Mar-92,Comedy,PG-13,"$4,631,720 ",,
He Got Game,,1-May-98,Drama,R,"$38,766,948 ",,
Bringing Down the House,,7-Mar-03,Comedy,PG-13,"$185,481,530 ",,
Bon Voyage!,,17-May-62,Comedy,Not Rated,"$109,581,646 ",,
Doctor Strange,,4-Nov-16,Adventure,PG-13,"$232,532,923 ",,
Flubber,,26-Nov-97,Comedy,PG,"$170,406,423 ",,
Roving Mars,,27-Jan-06,Documentary,G,"$12,948,025 ",,
Captain Ron,,18-Sep-92,Comedy,PG-13,"$45,741,576 ",,
Shadow Conspiracy,,31-Jan-97,Thriller/Suspense,R,"$3,957,025 ",,
Good Morning Vietnam,,23-Dec-87,Comedy,R,"$254,414,837 ",,
Babes in Toyland,,14-Dec-61,Musical,G,"$124,841,160 ",,
An Innocent Man,,6-Oct-89,Drama,R,"$40,983,414 ",,
Summer of Sam,,2-Jul-99,Drama,R,"$32,007,656 ",,
The Good Dinosaur,,25-Nov-15,Adventure,PG,"$123,087,120 ",,
Angels in the Outfield,,15-Jul-94,Comedy,PG,"$103,798,152 ",,
Tough Guys,,3-Oct-86,Comedy,,"$48,758,184 ",,
Something Wicked This Way Comes,,29-Apr-83,Horror,,"$15,136,765 ",,
The Rocketeer,,21-Jun-91,Action,PG,"$93,256,673 ",,
Stakeout,,5-Aug-87,Comedy,R,"$141,592,160 ",,
National Treasure 2: Book of Secrets,,21-Dec-07,Adventure,PG,"$267,003,525 ",,
Terminal Velocity,,23-Sep-94,Action,PG-13,"$34,048,315 ",,
Apocalypto,,8-Dec-06,Adventure,R,"$64,959,548 ",,
Invincible,,25-Aug-06,Drama,PG,"$74,398,864 ",,
25th Hour,,19-Dec-02,Drama,R,"$18,325,463 ",,
Mighty Joe Young,,25-Dec-98,Adventure,PG,"$87,906,042 ",,
Deceived,,27-Sep-91,Thriller/Suspense,PG-13,"$57,544,453 ",,
Never Cry Wolf,,7-Oct-83,Drama,,"$70,669,955 ",,
G-Force,,24-Jul-09,Adventure,PG,"$134,246,932 ",,
Feast of July,,13-Oct-95,Drama,R,"$568,342 ",,
The Lookout,,30-Mar-07,Drama,R,"$5,637,048 ",,
Cool Runnings,,1-Oct-93,Comedy,PG,"$140,392,731 ",,
Alice Through the Looking Glass,,27-May-16,Adventure,PG,"$77,042,381 ",,
The Devil and Max Devlin,,1-Jan-81,,,"$48,517,980 ",,
The Chronicles of Narnia: Prince Caspian,,16-May-08,Adventure,PG,"$166,277,038 ",,
The Insider,,5-Nov-99,Drama,R,"$47,794,214 ",,
Camp Nowhere,,26-Aug-94,Comedy,PG,"$21,576,332 ",,
The Rock,,7-Jun-96,Action,R,"$255,702,705 ",,
Green Card,,25-Dec-90,Romantic Comedy,PG-13,"$59,679,131 ",,
Real Steel,,7-Oct-11,Action,PG-13,"$90,848,019 ",,
A Kid in King Arthur's Court,,11-Aug-95,Adventure,PG,"$25,981,285 ",,
The Last Flight of Noah’s Ark,,25-Jun-80,,,"$34,472,116 ",,
African Cats,,22-Apr-11,Documentary,G,"$16,401,551 ",,
Toy Story 3D Double Feature,,2-Oct-09,Adventure,G,"$34,509,545 ",,
Into the Woods,,25-Dec-14,Musical,PG,"$130,894,237 ",,
Finding Nemo,,30-May-03,Adventure,G,"$518,148,559 ",,
The Good Mother,,4-Nov-88,Drama,,"$9,772,655 ",,
The Hundred-Foot Journey,,8-Aug-14,Romantic Comedy,PG,"$55,961,409 ",,
Pearl Harbor,,25-May-01,Action,PG-13,"$295,705,112 ",,
Pirates of the Caribbean: At World’…,,24-May-07,Adventure,PG-13,"$379,129,960 ",,
Color of Night,,19-Aug-94,Thriller/Suspense,R,"$40,804,816 ",,
Romy and Michele's High School Reunion,,25-Apr-97,Comedy,R,"$53,693,680 ",,
Cheetah,,18-Aug-89,Adventure,,"$16,653,473 ",,
Jack,,9-Aug-96,Drama,PG-13,"$111,792,852 ",,
Monsters University,,21-Jun-13,Adventure,G,"$278,395,641 ",,
The Fifth Estate,,18-Oct-13,Drama,R,"$3,374,251 ",,
Before and After,,23-Feb-96,Drama,PG-13,"$16,482,589 ",,
Moonlight Mile,,27-Sep-02,Drama,PG-13,"$9,909,094 ",,
A Stranger Among Us,,17-Jul-92,Drama,PG-13,"$24,950,752 ",,
The Lizzie McGuire Movie,,2-May-03,Comedy,PG,"$59,743,191 ",,
Krippendorf's Tribe,,27-Feb-98,Comedy,PG-13,"$13,608,633 ",,
crazy/beautiful,,29-Jun-01,Drama,PG-13,"$25,214,223 ",,
Adventures in Babysitting,,3-Jul-87,Comedy,,"$72,853,569 ",,
The Game Plan,,22-Sep-07,Comedy,PG,"$111,010,758 ",,
Splash,,9-Mar-84,Comedy,PG,"$157,057,661 ",,
Who Framed Roger Rabbit?,,22-Jun-88,Comedy,PG,"$316,250,084 ",,
The Light Between Oceans,,2-Sep-16,Drama,PG-13,"$12,545,979 ",,
The Guardian,,29-Sep-06,Action,PG-13,"$70,801,353 ",,
Mr. Holland's Opus,,29-Dec-95,Drama,PG,"$157,508,868 ",,
The Preacher's Wife,,13-Dec-96,Drama,PG,"$91,076,877 ",,
Sarafina!,,18-Sep-92,Drama,PG-13,"$14,841,352 ",,
Trenchcoat,,11-Mar-83,Comedy,,"$11,519,089 ",,
Confessions of a Teenage Drama Queen,,20-Feb-04,Comedy,PG,"$39,816,568 ",,
Around the World in 80 Days,,16-Jun-04,Adventure,PG,"$32,585,356 ",,
Blaze,,13-Dec-89,Drama,R,"$39,884,640 ",,
Toy Story,,22-Nov-95,Adventure,G,"$370,409,631 ",,
Prince of Persia: Sands of Time,,28-May-10,Action,PG-13,"$96,971,361 ",,
Eddie,,31-May-96,Comedy,PG-13,"$59,828,966 ",,
White Fang 2: Myth of the White Wolf,,15-Apr-94,Adventure,PG,"$18,083,994 ",,
White Squall,,2-Feb-96,Adventure,PG-13,"$19,509,726 ",,
The Invisible,,27-Apr-07,Thriller/Suspense,PG-13,"$25,202,168 ",,
Guilty as Sin,,4-Jun-93,Thriller/Suspense,R,"$46,064,723 ",,
Operation Dumbo Drop,,28-Jul-95,Adventure,PG,"$47,809,421 ",,
Ghosts of the Abyss,,11-Apr-03,Documentary,G,"$23,803,108 ",,
Scenes from a Mall,,22-Feb-91,Comedy,,"$19,149,495 ",,
The BFG,,1-Jul-16,Adventure,PG,"$55,483,770 ",,
Tron,,9-Jul-82,Action,,"$77,184,895 ",,
Firelight,,4-Sep-98,Drama,R,"$1,409,943 ",,
Delivery Man,,22-Nov-13,Comedy,PG-13,"$31,787,136 ",,
New York Stories,,1-Mar-89,Drama,PG,"$22,740,861 ",,
Disorganized Crime,,14-Apr-89,Comedy,,"$15,233,465 ",,
Tom and Huck,,22-Dec-95,Adventure,PG,"$45,911,517 ",,
Keeping the Faith,,14-Apr-00,Romantic Comedy,PG-13,"$57,925,202 ",,
Grosse Pointe Blank,,11-Apr-97,Black Comedy,R,"$51,579,764 ",,
Indian Summer,,23-Apr-93,Comedy,R,"$29,968,953 ",,
Billy Bathgate,,1-Nov-91,Drama,R,"$31,167,691 ",,
3 Ninjas Kick Back,,6-May-94,Action,PG,"$24,267,154 ",,
My Boyfriend's Back,,6-Aug-93,,PG-13,"$6,554,384 ",,
Goal! The Dream Begins,,12-May-06,Drama,PG,"$5,512,647 ",,
Country,,29-Sep-84,Drama,,"$21,075,000 ",,
Big Trouble,,5-Apr-02,Comedy,PG-13,"$10,537,188 ",,
People Like Us,,29-Jun-12,Drama,PG-13,"$13,165,822 ",,
Mars Needs Moms,,11-Mar-11,Adventure,PG,"$22,741,603 ",,
Angie,,4-Mar-94,Comedy,R,"$19,116,981 ",,
Deuce Bigalow: Male Gigolo,,10-Dec-99,Comedy,R,"$106,921,374 ",,
Veronica Guerin,,17-Oct-03,Drama,R,"$2,194,759 ",,
Max Keeble's Big Move,,5-Oct-01,Comedy,PG,"$25,749,730 ",,
The Scarlet Letter,,13-Oct-95,Drama,R,"$20,075,033 ",,
D3: The Mighty Ducks,,4-Oct-96,Comedy,PG,"$43,713,554 ",,
Up,,29-May-09,Adventure,PG,"$329,336,681 ",,
Alive,,15-Jan-93,Adventure,R,"$73,914,543 ",,
Can't Buy Me Love,,14-Aug-87,Romantic Comedy,,"$68,181,300 ",,
The Hoax,,6-Apr-07,Drama,R,"$8,779,196 ",,
Crimson Tide,,12-May-95,Action,R,"$177,102,077 ",,
Ransom,,8-Nov-96,Action,R,"$259,807,820 ",,
Pretty Woman,,23-Mar-90,Romantic Comedy,R,"$356,389,765 ",,
Inspector Gadget,,23-Jul-99,Comedy,PG,"$161,610,341 ",,
The Tigger Movie,,11-Feb-00,Adventure,G,"$71,228,678 ",,
Heavy Weights,,17-Feb-95,Comedy,PG,"$34,245,779 ",,
