movie_title,character
Hercules,"['Alcmene', 'Amphitryon', 'Apollo', 'Atropos', 'Calliope', 'Clio', 'Clotho', 'Demetrius', 'Hades', 'Hera', 'Hercules', 'Hermes', 'Lachesis', 'Megara', 'Melpomene', 'Nessus', 'Pain and Panic', 'Pegasus', 'Philoctetes', 'Terpsichore', 'Thalia', 'Zeus']"
Higglytown Heroes,['Fran']
Hold That Pose,['Humphrey the Bear']
Home on the Range,"['Alameda Slim', 'Audrey the Chicken', 'Buck', 'Grace', 'Jeb the Goat', 'Junior the Buffalo', 'Larry the Duck', 'Lucky Jack', 'Maggie', 'Mrs. Calloway', 'Ollie the Pig', 'Pearl Gesner', 'Rico', 'Rusty the Dog', 'Sam the Sheriff', 'Wesley']"
House of Mouse,"['April', 'June', 'May', 'Mike the Microphone']"
Journey into Imagination with Figment,['Figment']
Jungle Cubs,"['Arthur', 'Cecil the Vulture', 'Mahra the Baboon', 'Ned the Baboon']"
Lady and the Tramp,"['Al the Alligator', 'Aunt Sarah', 'Beaver', 'Darling', 'Jim Dear', 'Jock', 'Lady', 'Peg', 'Si & Am', 'Tramp', 'Trusty']"
Lady and the Tramp II: Scamp's Adventure,"['Angel', 'Annette', 'Buster', 'Colette', 'Danielle', 'The Dog Catcher', 'Francois', 'Mooch', 'Ruby', 'Scamp', 'Scratchy', 'Sparky']"
Lilo & Stitch,"['Agent Wendy Pleakley', 'Cobra Bubbles', 'David Kawena', 'Dr. Jumba Jookiba', 'Captain Gantu', 'Grand Councilwoman', 'Lilo Pelekai', 'Mrs. Hasagawa', 'Myrtle Edmonds', 'Nani Pelekai', 'Stitch']"
Make Mine Music,['Alice Bluebonnet']
Meet the Robinsons,"['Bowler Hat Guy', 'Carl the Robot', 'Cornelius Robinson', 'Doris', 'Frankie the Frog', 'Franny Robinson', 'Goob', 'Lefty', 'Lewis', 'Lizzy', 'Lucille Krunklehorn', 'Mildred', 'Mr. Willerstein', 'Tiny', 'Uncle Art', 'Wilbur Robinson']"
Melody Time,"['Johnny Appleseed', 'Little Toot']"
Mickey Mouse Clubhouse,"['Baby Red Bird', 'Bella', 'Mr. Pettibone']"
Mickey's Revue,['Goofy']
Mickey's Rival,['Mortimer Mouse']
Mickey's Steam Roller,"['Ferdie Fieldmouse', 'Morty Fieldmouse']"
Mr. Duck Steps Out,['Daisy Duck']
Mulan,"['Chi-Fu', 'Chien-Po', 'Cri-Kee', 'Emperor of China', 'Fa Li', 'Fa Zhou', 'First Ancestor Fa', 'General Li', 'Grandmother Fa', 'Li Shang', 'Ling', 'The Matchmaker', 'Mulan', 'Mushu', 'Shan Yu', 'Yao']"
Mulan 2,['Sha-ron']
My Friends Tigger & Pooh,['Darby']
One Hundred and One Dalmatians,"['The Captain', 'Duchess', 'Lucky', 'Nanny', 'Patch', 'Penny', 'Princess', 'Rolly']"
Orphan's Benefit,['Clara Cluck']
Pepper Ann,['Pepper Ann Pearson']
Pete's Dragon,['Elliott']
Peter Pan,"['Captain Hook', 'The Crocodile (Tick Tock)', 'Cubby', 'George Darling', 'The Indian Chief', 'John Darling', 'Mary Darling', 'Michael Darling', 'Mr. Smee', 'Nana', 'Nibs', 'Peter Pan', 'Slightly', 'Tiger Lily', 'Tinker Bell', 'Tootles', 'Wendy Darling']"
Plane Crazy,"['Clarabelle Cow', 'Minnie Mouse']"
Pooh's Heffalump Movie,['Lumpy the Heffalump']
Private Pluto,"['Chip', 'Dale']"
Return to Never Land,"['Danny', 'Edward', 'Jane', 'The Octopus']"
Robin Hood,"['Alan-a-Dale', 'Friar Tuck', 'King Richard', 'Lady Kluck', 'Little John', 'Maid Marian', 'Mother Rabbit', 'Nutsy the Vulture', 'Otto', 'Prince John', 'Robin Hood', 'Sheriff of Nottingham', 'Sir Hiss', 'Sis Bunny', 'Skippy Bunny', 'Tagalong Bunny', 'Toby Turtle', 'Trigger the Vulture']"
Saludos Amigos,['José Carioca']
Secret of the Wings,"['Gliss', 'Periwinkle']"
Sheep Dog,['Bent-Tail Junior']
Silly Symphonies,"['Bucky Bug', 'Elmer Elephant', 'Ferdinand the Bull', 'Jenny Wren', 'Joe Giraffe', 'Joey Hippo', 'Tillie Tiger']"
